schema	table	rows
audit	audit_logs	100
audit	notifications	100
core	branches	100
core	common_code_groups	130
core	common_codes	304
core	companies	100
core	permissions	100
core	role_permissions	100
core	roles	100
core	tenants	103
core	user_data_scopes	100
core	user_roles	100
core	users	103
dsp	assignment_candidates	100
dsp	assignments	100
dsp	dispatch_events	100
dsp	dispatches	100
exec	execution_results	100
exec	gps_positions	100
exec	incidents	100
exec	pod_documents	100
exec	stop_results	100
mdm	business_partners	100
mdm	carriers	100
mdm	contract_rates	100
mdm	contracts	100
mdm	customers	100
mdm	drivers	100
mdm	locations	100
mdm	vehicles	100
ord	order_attachments	100
ord	order_items	100
ord	order_status_history	100
ord	order_stops	100
ord	orders	100
plan	plan_orders	100
plan	plan_stops	100
plan	transport_plans	100
public	alembic_version	1
stl	settlement_adjustments	100
stl	settlement_batches	100
stl	settlement_closings	100
stl	settlement_lines	100
stl	settlements	100
